X Acceleration (m/s^2), Y Acceleration (m/s^2), Z Acceleration (m/s^2), Time (milliseconds)
1.9245, 3.0184, 9.4176, 23938
1.9245, 3.0184, 9.4176, 23969
1.5396, 2.6411, 9.4176, 24015
1.9245, 2.6411, 8.6328, 24061
1.5396, 2.6411, 9.0252, 24092
1.5396, 2.6411, 9.4176, 24138
1.5396, 2.6411, 9.809999, 24185
1.9245, 2.6411, 9.0252, 24215
1.9245, 2.6411, 9.4176, 24262
2.3094, 2.2638, 9.4176, 24293
2.3094, 2.2638, 9.4176, 24332
3.0792, 2.2638, 9.4176, 24386
4.6188, 1.1319, 10.2024, 24417
7.698, 3.3957, 10.5948, 24464
11.547, 2.2638, 10.5948, 24495
15.7809, 2.6411, 10.5948, 24542
13.8564, 1.1319, 8.2404, 24573
5.7735, -1.1319, 0, 24619
-11.1621, -6.4141, 7.0632, 24666
-26.1732, -3.3957, 9.0252, 24697
-17.3205, 10.5644, 9.809999, 24739
-7.698, 9.4325, 11.3796, 24775
-5.0037, -3.773, 7.848, 24822
-3.0792, -3.773, 5.886, 24872
-3.0792, 0.3773, 10.2024, 24901
-3.0792, -0.3773, 10.5948, 24946
-2.3094, 0.7546, 9.0252, 24979
-1.9245, 0, 10.2024, 25024
-1.9245, -0.3773, 9.809999, 25073
-2.3094, 0.7546, 8.6328, 25103
-2.3094, 0.7546, 9.0252, 25149
-2.3094, 0.3773, 9.4176, 25180
-1.9245, 0.3773, 9.4176, 25227
-2.3094, 0.3773, 10.2024, 25273
-2.3094, 0, 10.2024, 25305
-2.3094, 0.3773, 9.809999, 25352
-2.3094, 0, 9.809999, 25382
-3.0792, 0.3773, 9.0252, 25427
-3.4641, 1.1319, 9.4176, 25475
-4.2339, 0.3773, 10.2024, 25506
-4.2339, 0, 8.6328, 25552
-5.7735, 0.3773, 10.5948, 25599
-7.698, -0.7546, 10.5948, 25629
-6.5433, -2.2638, 7.848, 25676
-4.2339, -1.8865, 8.2404, 25709
-1.9245, -1.1319, 9.4176, 25753
0.7698, -0.7546, 7.4556, 25784
1.5396, -1.1319, 7.0632, 25831
2.6943, 1.8865, 8.2404, 25876
2.6943, 1.5092, 9.0252, 25907
2.6943, 1.1319, 9.809999, 25952
3.0792, 0, 11.3796, 26000
3.4641, 2.2638, 9.809999, 26031
3.849, 1.1319, 10.9872, 26076
4.2339, 1.5092, 9.809999, 26106
3.4641, 1.8865, 10.2024, 26154
2.6943, 1.1319, 10.2024, 26200
1.9245, 1.5092, 10.2024, 26232
1.5396, 1.8865, 10.5948, 26278
1.1547, 1.5092, 10.2024, 26310
0.7698, 1.8865, 9.809999, 26357
0.7698, 1.8865, 10.2024, 26405
0.3849, 1.8865, 9.4176, 26434
0.7698, 1.5092, 9.4176, 26482
1.1547, 1.5092, 9.809999, 26512
